query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
mpv platelets,1900,11,dfs,3,4,D,spoke,,,,,,backlog
gut health checks,1900,0,dfs,3,6,,commercial,,,,,,backlog
best testosterone booster uk,1900,14,dfs,3,4,pillar-C,spoke,gate,,,,,csv
supplements for joint pain,1900,9,dfs,3,5,lp-collagen,spoke,medium,,,planned,,csv
alt liver function test,1900,20,dfs,3,5,pillar-H,commercial,medium,,,planned,,csv
signs and symptoms vitamin d deficiency,1900,8,dfs,3,5,A,spoke,,,,,,discovery
test to check testosterone level,1900,21,dfs,3,4,C,commercial,gate,,,,,discovery
testosterone kit test,1900,0,dfs,3,6,C,commercial,gate,,,,,discovery
how quickly will doctor call with blood test results,1900,0,dfs,3,6,,commercial,,,,,,discovery
free cholesterol test at boots,1900,0,dfs,3,6,I,commercial,,,,,,discovery
deranged liver function test,1900,20,dfs,3,5,H,commercial,,,,,,discovery
brain fog cause,1900,8,dfs,3,5,,spoke,,,,,,discovery
blood test results rdw high,1900,2,dfs,3,5,,spoke,,,,,,discovery
mean cell hemoglobin concentration high,1600,11,dfs,3,4,,spoke,,,,,,backlog
normal albumin levels,1600,20,dfs,3,4,H,spoke,,,,,,backlog
blood test uk,1600,14,dfs,3,5,,commercial,,,,,,backlog
serum testosterone level,1600,11,dfs,3,4,C,spoke,gate,,,,,backlog
testosterone levels in man,1600,18,dfs,3,4,C,spoke,gate,,,,,backlog
homocysteine test,1600,0,dfs,3,6,,commercial,,,,,,backlog
progesterone test,1600,0,dfs,3,6,,commercial,,,,,,backlog
emoms,1600,0,dfs,3,5,,spoke,,,,,,backlog
serum gamma gt,1600,10,dfs,3,5,,spoke,,,,,,backlog
serum urea level high,1600,2,dfs,3,5,,spoke,,,,,,backlog
evorel conti patches reviews,1600,0,dfs,3,5,,spoke,,,,,,backlog
high mean cell haemoglobin concentration,1600,11,dfs,3,4,D,spoke,,,,,,backlog
normal ferritin levels by age,1600,19,dfs,3,4,D,spoke,,,,,,backlog
mean corpuscular hemoglobin concentration high,1600,0,dfs,3,5,,spoke,,,,,,backlog
blood test potassium,1600,7,dfs,3,6,,commercial,,,,,,backlog
alcohol tests,1600,14,dfs,3,4,,spoke,,,,,,backlog
wbc total count,1600,12,dfs,3,4,D,spoke,,,,,,backlog
cholesterol check home kit,1600,6,dfs,3,5,I,spoke,,,,,,backlog
cholesterol home test kit,1600,0,dfs,3,6,I,commercial,,,,,,backlog
home testing cholesterol kit,1600,0,dfs,3,5,I,spoke,,,,,,backlog
vitals,1600,11,dfs,3,4,,spoke,,,,,,backlog
health mot,1600,14,dfs,3,4,,spoke,,,,,,backlog
anti ccp antibodies,1600,2,dfs,3,5,,spoke,,,,,,backlog
balance my hormones,1600,17,dfs,3,4,,spoke,,,,,,backlog
